,origin,time_hour,tailnum,year,month,day,dep_time,sched_dep_time,dep_delay,arr_delay,carrier,flight,dest,air_time,distance,hour,minute,seats,temp,dewp,humid,wind_dir,wind_speed,precip,pressure,visib,week_day,wknd,evening_rush_hour,wind_sin,wind_cos,precip_indic
190,EWR,2013-07-13 6:00,N48901,2013,7,13,704,639,25,8,EV,4179,BOS,35,200,6,39,55,71.96,69.98,93.49,30,6.90468,0,1021.6,5,Saturday,TRUE,FALSE,3.45234,5.979628285,FALSE
191,EWR,2013-07-13 8:00,N183JB,2013,7,13,824,830,-6,-12,B6,2280,BOS,35,200,8,30,20,73.04,71.06,93.52,40,6.90468,0,1023.1,4,Saturday,TRUE,FALSE,4.438242753,5.289291746,FALSE
193,EWR,2013-07-13 11:00,N292JB,2013,7,13,1115,1125,-10,2,B6,2380,BOS,35,200,11,25,20,78.08,73.94,87.12,50,4.60312,0,1023.5,9,Saturday,TRUE,FALSE,3.526194497,2.958828502,FALSE
196,EWR,2013-07-13 17:00,N323JB,2013,7,13,1718,1730,-12,-27,B6,2580,BOS,40,200,17,30,20,78.08,75.02,90.33,70,5.7539,0.02,1023.9,8,Saturday,TRUE,TRUE,5.406897371,1.967949703,TRUE
201,EWR,2013-07-14 8:00,N348JB,2013,7,14,822,830,-8,-5,B6,2280,BOS,47,200,8,30,20,80.96,73.94,79.27,260,10.35702,0,1027.1,10,Sunday,TRUE,FALSE,-10.19967359,-1.798477649,FALSE
202,EWR,2013-07-14 11:00,N324JB,2013,7,14,1110,1125,-15,-28,B6,2380,BOS,37,200,11,25,20,87.08,73.04,63.14,250,11.5078,0,1026.3,10,Sunday,TRUE,FALSE,-10.81379474,-3.935899405,FALSE
204,EWR,2013-07-14 14:00,N373JB,2013,7,14,1354,1400,-6,-18,B6,2480,BOS,42,200,14,0,20,91.04,71.06,52.11,250,9.20624,0,1025.2,10,Sunday,TRUE,FALSE,-8.651035793,-3.148719524,FALSE
205,EWR,2013-07-14 14:00,N39461,2013,7,14,1532,1455,37,24,UA,1116,BOS,35,200,14,55,191,91.04,71.06,52.11,250,9.20624,0,1025.2,10,Sunday,TRUE,FALSE,-8.651035793,-3.148719524,FALSE
208,EWR,2013-07-14 17:00,N25705,2013,7,14,1742,1742,0,-21,UA,1248,BOS,38,200,17,42,149,89.96,69.08,50.39,250,8.05546,0,1023.8,10,Sunday,TRUE,TRUE,-7.569656319,-2.755129584,FALSE
209,EWR,2013-07-14 19:00,N407UA,2013,7,14,1926,1920,6,-16,UA,994,BOS,38,200,19,20,200,89.06,68,49.95,240,12.65858,0,1023.7,10,Sunday,TRUE,FALSE,-10.96265186,-6.32929,FALSE
210,EWR,2013-07-14 20:00,N236JB,2013,7,14,2249,2045,124,120,B6,2680,BOS,49,200,20,45,20,87.08,66.92,51.24,240,8.05546,0,1023.9,10,Sunday,TRUE,FALSE,-6.976232999,-4.02773,FALSE
212,EWR,2013-07-14 21:00,N76528,2013,7,14,2120,2106,14,2,UA,1163,BOS,44,200,21,6,149,86,69.08,57.12,230,6.90468,0,1024.2,10,Sunday,TRUE,FALSE,-5.289291746,-4.438242753,FALSE
213,EWR,2013-07-15 6:00,N436UA,2013,7,15,711,659,12,-7,UA,751,BOS,37,200,6,59,200,78.98,71.96,79.12,220,3.45234,0,1024.2,10,Monday,FALSE,FALSE,-2.219121376,-2.644645873,FALSE
215,EWR,2013-07-15 6:00,N430UA,2013,7,15,701,649,12,4,UA,475,BOS,41,200,6,49,200,78.98,71.96,79.12,220,3.45234,0,1024.2,10,Monday,FALSE,FALSE,-2.219121376,-2.644645873,FALSE
216,EWR,2013-07-15 6:00,N353JB,2013,7,15,558,608,-10,-18,B6,2180,BOS,45,200,6,8,20,78.98,71.96,79.12,220,3.45234,0,1024.2,10,Monday,FALSE,FALSE,-2.219121376,-2.644645873,FALSE
217,EWR,2013-07-15 8:00,N348JB,2013,7,15,826,836,-10,-12,B6,2280,BOS,48,200,8,36,20,86,71.06,61.12,280,9.20624,0,1024,10,Monday,FALSE,FALSE,-9.066376528,1.598646799,FALSE
219,EWR,2013-07-15 10:00,N24729,2013,7,15,1010,1015,-5,-14,UA,1163,BOS,39,200,10,15,149,91.04,71.06,52.11,310,8.05546,0,1023.1,10,Monday,FALSE,FALSE,-6.17084037,5.177949878,FALSE
220,EWR,2013-07-15 11:00,N304JB,2013,7,15,1121,1125,-4,-11,B6,2380,BOS,37,200,11,25,20,93.02,71.96,50.51,300,8.05546,0,1022.7,10,Monday,FALSE,FALSE,-6.976232999,4.02773,FALSE
221,EWR,2013-07-15 12:00,N17244,2013,7,15,1234,1237,-3,-15,UA,1248,BOS,36,200,12,37,149,93.92,71.06,47.64,320,12.65858,0,1022.2,10,Monday,FALSE,FALSE,-8.13677838,9.697034867,FALSE
222,EWR,2013-07-15 14:00,N353JB,2013,7,15,1412,1400,12,-7,B6,2480,BOS,35,200,14,0,20,93.92,69.98,45.92,330,10.35702,0,1021.3,10,Monday,FALSE,FALSE,-5.17851,8.969442428,FALSE
223,EWR,2013-07-15 14:00,N810UA,2013,7,15,1515,1459,16,0,UA,236,BOS,37,200,14,59,179,93.92,69.98,45.92,330,10.35702,0,1021.3,10,Monday,FALSE,FALSE,-5.17851,8.969442428,FALSE
224,EWR,2013-07-15 16:00,N802UA,2013,7,15,1658,1659,-1,-21,UA,248,BOS,35,200,16,59,179,95,69.08,43.07,340,14.96014,0,1020.4,10,Monday,FALSE,FALSE,-5.116669227,14.05793316,FALSE
225,EWR,2013-07-15 17:00,N23721,2013,7,15,1740,1742,-2,-12,UA,1686,BOS,42,200,17,42,149,93.92,69.08,44.53,350,16.11092,0,1020.2,10,Monday,FALSE,TRUE,-2.797631899,15.86615892,FALSE
226,EWR,2013-07-15 17:00,N184JB,2013,7,15,1727,1730,-3,-25,B6,2580,BOS,39,200,17,30,20,93.92,69.08,44.53,350,16.11092,0,1020.2,10,Monday,FALSE,TRUE,-2.797631899,15.86615892,FALSE
227,EWR,2013-07-15 19:00,N17719,2013,7,15,1905,1906,-1,-5,UA,1116,BOS,41,200,19,6,149,91.94,66.92,43.96,320,11.5078,0,1020.2,10,Monday,FALSE,FALSE,-7.397071255,8.815486243,FALSE
228,EWR,2013-07-15 20:00,N820UA,2013,7,15,2052,2059,-7,-28,UA,994,BOS,39,200,20,59,179,91.04,68,46.93,320,9.20624,0,1020.4,10,Monday,FALSE,FALSE,-5.917657004,7.052388994,FALSE
229,EWR,2013-07-15 20:00,N258JB,2013,7,15,2040,2045,-5,-5,B6,2680,BOS,41,200,20,45,20,91.04,68,46.93,320,9.20624,0,1020.4,10,Monday,FALSE,FALSE,-5.917657004,7.052388994,FALSE
230,EWR,2013-07-15 21:00,N39423,2013,7,15,2142,2149,-7,-13,UA,1451,BOS,44,200,21,49,191,89.96,69.08,50.39,340,9.20624,0,1020.8,10,Monday,FALSE,FALSE,-3.148719524,8.651035793,FALSE
231,EWR,2013-07-16 6:00,N830UA,2013,7,16,559,604,-5,-26,UA,230,BOS,36,200,6,4,179,80.06,66.02,62.29,10,10.35702,0,1022.1,10,Tuesday,FALSE,FALSE,1.798477649,10.19967359,FALSE
232,EWR,2013-07-16 6:00,N492UA,2013,7,16,653,659,-6,-25,UA,751,BOS,37,200,6,59,200,80.06,66.02,62.29,10,10.35702,0,1022.1,10,Tuesday,FALSE,FALSE,1.798477649,10.19967359,FALSE
233,EWR,2013-07-16 6:00,N216JB,2013,7,16,559,608,-9,-21,B6,2180,BOS,37,200,6,8,20,80.06,66.02,62.29,10,10.35702,0,1022.1,10,Tuesday,FALSE,FALSE,1.798477649,10.19967359,FALSE
234,EWR,2013-07-16 8:00,N368JB,2013,7,16,836,836,0,-2,B6,2280,BOS,36,200,8,36,20,84.92,66.02,53.21,10,14.96014,0,1022.5,10,Tuesday,FALSE,FALSE,2.597801049,14.73286186,FALSE
235,EWR,2013-07-16 8:00,N16703,2013,7,16,814,807,7,5,UA,1199,BOS,38,200,8,7,149,84.92,66.02,53.21,10,14.96014,0,1022.5,10,Tuesday,FALSE,FALSE,2.597801049,14.73286186,FALSE
236,EWR,2013-07-16 10:00,N16701,2013,7,16,1025,1015,10,-4,UA,1163,BOS,35,200,10,15,149,89.96,64.94,43.67,360,9.20624,0,1022.1,10,Tuesday,FALSE,FALSE,-2.25E-15,9.20624,FALSE
237,EWR,2013-07-16 11:00,N373JB,2013,7,16,1118,1125,-7,-21,B6,2380,BOS,35,200,11,25,20,91.94,64.94,41.04,330,13.80936,0,1021.9,10,Tuesday,FALSE,FALSE,-6.90468,11.95925657,FALSE
239,EWR,2013-07-16 14:00,N808UA,2013,7,16,1507,1459,8,1,UA,236,BOS,44,200,14,59,179,93.92,62.96,36.01,360,10.35702,0,1020.8,10,Tuesday,FALSE,FALSE,-2.54E-15,10.35702,FALSE
241,EWR,2013-07-16 16:00,N820UA,2013,7,16,1729,1659,30,27,UA,244,BOS,36,200,16,59,179,93.92,62.96,36.01,20,11.5078,0,1020.3,10,Tuesday,FALSE,FALSE,3.935899405,10.81379474,FALSE
242,EWR,2013-07-16 17:00,N25705,2013,7,16,1753,1742,11,15,UA,1686,BOS,39,200,17,42,149,89.96,64.04,42.31,20,11.5078,0,1020.1,10,Tuesday,FALSE,TRUE,3.935899405,10.81379474,FALSE
243,EWR,2013-07-16 17:00,N179JB,2013,7,16,1727,1730,-3,-11,B6,2580,BOS,37,200,17,30,20,89.96,64.04,42.31,20,11.5078,0,1020.1,10,Tuesday,FALSE,TRUE,3.935899405,10.81379474,FALSE
244,EWR,2013-07-16 19:00,N16703,2013,7,16,1901,1906,-5,8,UA,1142,BOS,35,200,19,6,149,89.06,62.96,41.91,30,11.5078,0,1020.6,10,Tuesday,FALSE,FALSE,5.7539,9.966047142,FALSE
245,EWR,2013-07-16 20:00,N183JB,2013,7,16,2036,2045,-9,2,B6,2680,BOS,39,200,20,45,20,87.08,64.04,46.35,30,9.20624,0,1020.7,10,Tuesday,FALSE,FALSE,4.60312,7.972837713,FALSE
247,EWR,2013-07-16 21:00,N37471,2013,7,16,2131,2129,2,10,UA,1451,BOS,38,200,21,29,191,84.92,64.04,49.66,20,5.7539,0,1021.3,10,Tuesday,FALSE,FALSE,1.967949703,5.406897371,FALSE
249,EWR,2013-07-17 6:00,N424UA,2013,7,17,657,659,-2,-24,UA,751,BOS,36,200,6,59,200,80.06,69.98,71.39,10,4.60312,0,1022,10,Wednesday,FALSE,FALSE,0.7993234,4.533188264,FALSE
250,EWR,2013-07-17 6:00,N229JB,2013,7,17,556,608,-12,-26,B6,2180,BOS,36,200,6,8,20,80.06,69.98,71.39,10,4.60312,0,1022,10,Wednesday,FALSE,FALSE,0.7993234,4.533188264,FALSE
251,EWR,2013-07-17 8:00,N37466,2013,7,17,803,807,-4,-13,UA,1199,BOS,34,200,8,7,191,87.08,69.98,56.92,10,8.05546,0,1022.2,10,Wednesday,FALSE,FALSE,1.398815949,7.933079462,FALSE
252,EWR,2013-07-17 8:00,N187JB,2013,7,17,825,836,-11,-7,B6,2280,BOS,49,200,8,36,20,87.08,69.98,56.92,10,8.05546,0,1022.2,10,Wednesday,FALSE,FALSE,1.398815949,7.933079462,FALSE
253,EWR,2013-07-17 10:00,N828UA,2013,7,17,1008,1015,-7,-13,UA,222,BOS,42,200,10,15,179,91.94,69.08,47.36,0,0,0,1021.9,10,Wednesday,FALSE,FALSE,0,0,FALSE
255,EWR,2013-07-17 12:00,N11206,2013,7,17,1229,1237,-8,-16,UA,1248,BOS,41,200,12,37,149,93.02,68,44.12,0,0,0,1020.8,10,Wednesday,FALSE,FALSE,0,0,FALSE
256,EWR,2013-07-17 14:00,N808UA,2013,7,17,1501,1459,2,-7,UA,236,BOS,38,200,14,59,179,93.02,66.02,41.2,0,0,0,1019.7,10,Wednesday,FALSE,FALSE,0,0,FALSE
257,EWR,2013-07-17 14:00,N316JB,2013,7,17,1357,1400,-3,-11,B6,2480,BOS,43,200,14,0,20,93.02,66.02,41.2,0,0,0,1019.7,10,Wednesday,FALSE,FALSE,0,0,FALSE
258,EWR,2013-07-17 16:00,N806UA,2013,7,17,1732,1659,33,30,UA,244,BOS,47,200,16,59,179,91.94,69.08,47.36,180,9.20624,0,1018.3,10,Wednesday,FALSE,FALSE,1.13E-15,-9.20624,FALSE
259,EWR,2013-07-17 17:00,N38403,2013,7,17,1747,1742,5,-7,UA,1686,BOS,45,200,17,42,191,91.04,69.98,50.23,170,8.05546,0,1018.1,10,Wednesday,FALSE,TRUE,1.398815949,-7.933079462,FALSE
260,EWR,2013-07-17 17:00,N274JB,2013,7,17,1726,1730,-4,0,B6,2580,BOS,51,200,17,30,20,91.04,69.98,50.23,170,8.05546,0,1018.1,10,Wednesday,FALSE,TRUE,1.398815949,-7.933079462,FALSE
262,EWR,2013-07-17 20:00,N317JB,2013,7,17,2050,2045,5,-3,B6,2680,BOS,43,200,20,45,20,87.98,71.06,57.39,150,4.60312,0,1017.8,10,Wednesday,FALSE,FALSE,2.30156,-3.986418857,FALSE
263,EWR,2013-07-17 20:00,N436UA,2013,7,17,2152,2059,53,41,UA,994,BOS,47,200,20,59,200,87.98,71.06,57.39,150,4.60312,0,1017.8,10,Wednesday,FALSE,FALSE,2.30156,-3.986418857,FALSE
264,EWR,2013-07-17 21:00,N38417,2013,7,17,2125,2129,-4,-3,UA,1451,BOS,46,200,21,29,191,86,71.06,61.12,190,9.20624,0,1018.4,10,Wednesday,FALSE,FALSE,-1.598646799,-9.066376528,FALSE
265,EWR,2013-07-18 6:00,N854UA,2013,7,18,557,604,-7,-12,UA,230,BOS,43,200,6,4,179,82.04,71.06,69.43,260,5.7539,0,1017.3,9,Thursday,FALSE,FALSE,-5.66648533,-0.999154249,FALSE
266,EWR,2013-07-18 6:00,N316JB,2013,7,18,557,608,-11,-8,B6,2180,BOS,42,200,6,8,20,82.04,71.06,69.43,260,5.7539,0,1017.3,9,Thursday,FALSE,FALSE,-5.66648533,-0.999154249,FALSE
267,EWR,2013-07-18 6:00,N451UA,2013,7,18,653,659,-6,-27,UA,751,BOS,41,200,6,59,200,82.04,71.06,69.43,260,5.7539,0,1017.3,9,Thursday,FALSE,FALSE,-5.66648533,-0.999154249,FALSE
268,EWR,2013-07-18 8:00,N23707,2013,7,18,758,807,-9,-16,UA,1199,BOS,34,200,8,7,149,89.06,73.04,59.3,310,4.60312,0,1017.5,9,Thursday,FALSE,FALSE,-3.526194497,2.958828502,FALSE
271,EWR,2013-07-18 11:00,N198JB,2013,7,18,1121,1125,-4,-18,B6,2380,BOS,35,200,11,25,20,96.08,71.06,44.57,320,9.20624,0,1017,10,Thursday,FALSE,FALSE,-5.917657004,7.052388994,FALSE
272,EWR,2013-07-18 12:00,N87531,2013,7,18,1236,1237,-1,-25,UA,1248,BOS,36,200,12,37,149,98.06,69.08,39.22,300,9.20624,0,1016.7,10,Thursday,FALSE,FALSE,-7.972837713,4.60312,FALSE
275,EWR,2013-07-18 16:00,N802UA,2013,7,18,1656,1659,-3,2,UA,244,BOS,42,200,16,59,179,98.06,66.92,36.4,310,6.90468,0,1014.6,10,Thursday,FALSE,FALSE,-5.289291746,4.438242753,FALSE
278,EWR,2013-07-18 19:00,N23707,2013,7,18,2033,1906,87,78,UA,1142,BOS,40,200,19,6,149,95,69.08,43.07,270,6.90468,0,1014.8,10,Thursday,FALSE,FALSE,-6.90468,-1.27E-15,FALSE
279,EWR,2013-07-18 20:00,N836UA,2013,7,18,2140,2059,41,97,UA,994,BOS,45,200,20,59,179,93.92,69.98,45.92,260,8.05546,0,1014.8,10,Thursday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
280,EWR,2013-07-18 20:00,N309JB,2013,7,18,2205,2045,80,101,B6,2680,BOS,46,200,20,45,20,93.92,69.98,45.92,260,8.05546,0,1014.8,10,Thursday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
282,EWR,2013-07-19 6:00,N37273,2013,7,19,658,650,8,-15,UA,1106,BOS,41,200,6,50,149,82.94,75.92,79.42,240,10.35702,0,1013.9,8,Friday,FALSE,FALSE,-8.969442428,-5.17851,FALSE
283,EWR,2013-07-19 6:00,N229JB,2013,7,19,555,608,-13,-7,B6,2180,BOS,44,200,6,8,20,82.94,75.92,79.42,240,10.35702,0,1013.9,8,Friday,FALSE,FALSE,-8.969442428,-5.17851,FALSE
286,EWR,2013-07-19 8:00,N354JB,2013,7,19,821,836,-15,-11,B6,2280,BOS,47,200,8,36,20,89.06,75.92,65.31,240,9.20624,0,1014.2,9,Friday,FALSE,FALSE,-7.972837713,-4.60312,FALSE
287,EWR,2013-07-19 10:00,N27724,2013,7,19,1011,1015,-4,-14,UA,1163,BOS,43,200,10,15,149,93.92,75.92,56.11,220,11.5078,0,1013.7,9,Friday,FALSE,FALSE,-7.397071255,-8.815486243,FALSE
288,EWR,2013-07-19 11:00,N324JB,2013,7,19,1114,1125,-11,-8,B6,2380,BOS,40,200,11,25,20,96.08,75.02,50.94,240,13.80936,0,1013.1,10,Friday,FALSE,FALSE,-11.95925657,-6.90468,FALSE
289,EWR,2013-07-19 12:00,N76503,2013,7,19,1237,1237,0,-9,UA,1248,BOS,44,200,12,37,149,98.06,73.04,44.86,250,18.41248,0,1012.4,10,Friday,FALSE,FALSE,-17.30207159,-6.297439049,FALSE
290,EWR,2013-07-19 14:00,N198JB,2013,7,19,1408,1400,8,-5,B6,2480,BOS,40,200,14,0,20,98.96,71.06,40.82,250,20.71404,0,1011,10,Friday,FALSE,FALSE,-19.46483053,-7.08461893,FALSE
291,EWR,2013-07-19 14:00,N850UA,2013,7,19,1506,1459,7,-9,UA,779,BOS,47,200,14,59,179,98.96,71.06,40.82,250,20.71404,0,1011,10,Friday,FALSE,FALSE,-19.46483053,-7.08461893,FALSE
292,EWR,2013-07-19 16:00,N836UA,2013,7,19,1716,1659,17,-1,UA,244,BOS,49,200,16,59,179,100.04,71.06,39.51,230,20.71404,0,1009.4,10,Friday,FALSE,FALSE,-15.86787524,-13.31472826,FALSE
294,EWR,2013-07-19 17:00,N17719,2013,7,19,1750,1742,8,12,UA,1136,BOS,42,200,17,42,149,98.06,69.98,40.44,240,19.56326,0,1008.7,10,Friday,FALSE,TRUE,-16.94228014,-9.78163,FALSE
295,EWR,2013-07-19 19:00,N13718,2013,7,19,2021,1906,75,52,UA,1116,BOS,41,200,19,6,149,93.02,73.04,52.39,220,17.2617,0,1009.1,9,Friday,FALSE,FALSE,-11.09560688,-13.22322936,FALSE
296,EWR,2013-07-19 20:00,N346JB,2013,7,19,2243,2045,118,118,B6,2680,BOS,43,200,20,45,20,91.94,73.04,54.18,230,16.11092,0,1010.1,10,Friday,FALSE,FALSE,-12.34168074,-10.35589976,FALSE
298,EWR,2013-07-19 21:00,N38451,2013,7,19,2225,2149,36,42,UA,1451,BOS,43,200,21,49,191,91.04,75.02,59.55,220,16.11092,0,1010.1,10,Friday,FALSE,FALSE,-10.35589976,-12.34168074,FALSE
299,EWR,2013-07-20 6:00,N13908,2013,7,20,634,639,-5,-19,EV,4179,BOS,39,200,6,39,55,80.96,69.08,67.22,240,16.11092,0,1009.1,10,Saturday,TRUE,FALSE,-13.952466,-8.05546,FALSE
300,EWR,2013-07-20 8:00,N238JB,2013,7,20,825,830,-5,-19,B6,2280,BOS,41,200,8,30,20,82.94,69.98,65,230,14.96014,0,1009.3,10,Saturday,TRUE,FALSE,-11.46013212,-9.616192631,FALSE
301,EWR,2013-07-20 8:00,N14905,2013,7,20,817,808,9,1,EV,4162,BOS,40,200,8,8,55,82.94,69.98,65,230,14.96014,0,1009.3,10,Saturday,TRUE,FALSE,-11.46013212,-9.616192631,FALSE
302,EWR,2013-07-20 11:00,N355JB,2013,7,20,1119,1125,-6,-14,B6,2380,BOS,41,200,11,25,20,91.04,69.98,50.23,220,16.11092,0,1008.1,10,Saturday,TRUE,FALSE,-10.35589976,-12.34168074,FALSE
303,EWR,2013-07-20 14:00,N294JB,2013,7,20,1357,1400,-3,-18,B6,2480,BOS,39,200,14,0,20,93.92,71.06,47.64,270,16.11092,0,1007.2,10,Saturday,TRUE,FALSE,-16.11092,-2.96E-15,FALSE
304,EWR,2013-07-20 15:00,N14230,2013,7,20,1514,1508,6,-1,UA,1425,BOS,48,200,15,8,149,93.02,71.06,48.99,260,14.96014,0,1006.8,10,Saturday,TRUE,FALSE,-14.73286186,-2.597801049,FALSE
305,EWR,2013-07-20 17:00,N354JB,2013,7,20,1724,1730,-6,-12,B6,2580,BOS,50,200,17,30,20,93.92,69.08,44.53,260,16.11092,0,1006.8,10,Saturday,TRUE,TRUE,-15.86615892,-2.797631899,FALSE
306,EWR,2013-07-20 19:00,N77261,2013,7,20,2106,1912,114,95,UA,1116,BOS,42,200,19,12,149,80.96,73.04,76.9,200,6.90468,0,1008.4,9,Saturday,TRUE,FALSE,-2.361539643,-6.488276845,FALSE
309,EWR,2013-07-21 7:00,N547UA,2013,7,21,716,720,-4,-12,UA,440,BOS,34,200,7,20,178,78.08,62.06,57.87,30,9.20624,0,1012.5,10,Sunday,TRUE,FALSE,4.60312,7.972837713,FALSE
310,EWR,2013-07-21 8:00,N193JB,2013,7,21,821,830,-9,-32,B6,2280,BOS,33,200,8,30,20,80.06,62.96,55.97,20,9.20624,0,1013,10,Sunday,TRUE,FALSE,3.148719524,8.651035793,FALSE
311,EWR,2013-07-21 11:00,N279JB,2013,7,21,1127,1125,2,-7,B6,2380,BOS,37,200,11,25,20,84.92,57.92,39.97,90,4.60312,0,1013.5,10,Sunday,TRUE,FALSE,4.60312,2.82E-16,FALSE
312,EWR,2013-07-21 12:00,N462UA,2013,7,21,1222,1234,-12,-33,UA,244,BOS,33,200,12,34,200,86,59,40.14,60,4.60312,0,1013.7,10,Sunday,TRUE,FALSE,3.986418857,2.30156,FALSE
314,EWR,2013-07-21 14:00,N355JB,2013,7,21,1350,1400,-10,-33,B6,2480,BOS,36,200,14,0,20,87.08,64.04,46.35,130,9.20624,0,1013.4,10,Sunday,TRUE,FALSE,7.052388994,-5.917657004,FALSE
318,EWR,2013-07-21 19:00,N498UA,2013,7,21,1956,1920,36,46,UA,994,BOS,36,200,19,20,200,80.06,64.94,59.99,160,6.90468,0,1013.2,10,Sunday,TRUE,FALSE,2.361539643,-6.488276845,FALSE
319,EWR,2013-07-21 20:00,N353JB,2013,7,21,2038,2045,-7,-11,B6,2680,BOS,35,200,20,45,20,78.98,64.94,62.16,150,4.60312,0,1013.9,10,Sunday,TRUE,FALSE,2.30156,-3.986418857,FALSE
320,EWR,2013-07-21 21:00,N37464,2013,7,21,2154,2155,-1,-29,UA,1686,BOS,36,200,21,55,191,78.98,66.92,66.58,0,0,0,1014.4,10,Sunday,TRUE,FALSE,0,0,FALSE
321,EWR,2013-07-21 21:00,N73291,2013,7,21,2110,2106,4,-19,UA,1163,BOS,35,200,21,6,149,78.98,66.92,66.58,0,0,0,1014.4,10,Sunday,TRUE,FALSE,0,0,FALSE
322,EWR,2013-07-22 6:00,N407UA,2013,7,22,648,649,-1,-23,UA,475,BOS,35,200,6,49,200,77,71.06,81.92,50,4.60312,0,1013.8,9,Monday,FALSE,FALSE,3.526194497,2.958828502,FALSE
323,EWR,2013-07-22 6:00,N453UA,2013,7,22,653,659,-6,-29,UA,751,BOS,34,200,6,59,200,77,71.06,81.92,50,4.60312,0,1013.8,9,Monday,FALSE,FALSE,3.526194497,2.958828502,FALSE
324,EWR,2013-07-22 6:00,N410UA,2013,7,22,601,604,-3,-30,UA,230,BOS,32,200,6,4,200,77,71.06,81.92,50,4.60312,0,1013.8,9,Monday,FALSE,FALSE,3.526194497,2.958828502,FALSE
329,EWR,2013-07-22 11:00,N228JB,2013,7,22,1121,1125,-4,-19,B6,2380,BOS,39,200,11,25,20,82.94,71.06,67.44,50,6.90468,0,1013.5,9,Monday,FALSE,FALSE,5.289291746,4.438242753,FALSE
331,EWR,2013-07-22 14:00,N829UA,2013,7,22,1502,1459,3,-12,UA,236,BOS,33,200,14,59,179,86,71.06,61.12,120,9.20624,0,1011.9,9,Monday,FALSE,FALSE,7.972837713,-4.60312,FALSE
332,EWR,2013-07-22 14:00,N292JB,2013,7,22,1359,1400,-1,-2,B6,2480,BOS,35,200,14,0,20,86,71.06,61.12,120,9.20624,0,1011.9,9,Monday,FALSE,FALSE,7.972837713,-4.60312,FALSE
333,EWR,2013-07-22 16:00,N832UA,2013,7,22,1708,1659,9,11,UA,248,BOS,37,200,16,59,179,82.94,73.04,72.11,150,6.90468,0,1010.8,10,Monday,FALSE,FALSE,3.45234,-5.979628285,FALSE
334,EWR,2013-07-22 17:00,N38727,2013,7,22,1832,1742,50,55,UA,1686,BOS,37,200,17,42,149,80.06,73.94,81.63,130,9.20624,0,1010.5,10,Monday,FALSE,TRUE,7.052388994,-5.917657004,FALSE
335,EWR,2013-07-22 17:00,N294JB,2013,7,22,1859,1730,89,149,B6,2580,BOS,38,200,17,30,20,80.06,73.94,81.63,130,9.20624,0,1010.5,10,Monday,FALSE,TRUE,7.052388994,-5.917657004,FALSE
338,EWR,2013-07-22 20:00,N306JB,2013,7,22,2114,2045,29,38,B6,2680,BOS,37,200,20,45,20,77,75.02,93.62,140,4.60312,0,1010.2,6,Monday,FALSE,FALSE,2.958828502,-3.526194497,FALSE
340,EWR,2013-07-23 6:00,N442UA,2013,7,23,654,659,-5,-11,UA,751,BOS,55,200,6,59,200,73.94,71.06,90.73,210,9.20624,0,1004.9,10,Tuesday,FALSE,FALSE,-4.60312,-7.972837713,FALSE
341,EWR,2013-07-23 6:00,N316JB,2013,7,23,602,608,-6,-17,B6,2180,BOS,36,200,6,8,20,73.94,71.06,90.73,210,9.20624,0,1004.9,10,Tuesday,FALSE,FALSE,-4.60312,-7.972837713,FALSE
342,EWR,2013-07-23 6:00,N845UA,2013,7,23,600,604,-4,-32,UA,230,BOS,34,200,6,4,179,73.94,71.06,90.73,210,9.20624,0,1004.9,10,Tuesday,FALSE,FALSE,-4.60312,-7.972837713,FALSE
343,EWR,2013-07-23 8:00,N38727,2013,7,23,800,807,-7,-23,UA,1199,BOS,40,200,8,7,149,75.92,71.06,84.92,250,10.35702,0,1004.3,10,Tuesday,FALSE,FALSE,-9.732415267,-3.542309465,FALSE
346,EWR,2013-07-23 11:00,N358JB,2013,7,23,1123,1125,-2,-8,B6,2380,BOS,45,200,11,25,20,84.02,71.06,65.13,250,9.20624,0,1003.5,10,Tuesday,FALSE,FALSE,-8.651035793,-3.148719524,FALSE
347,EWR,2013-07-23 12:00,N76522,2013,7,23,1242,1237,5,46,UA,1248,BOS,92,200,12,37,149,84.02,71.06,65.13,240,9.20624,0,1003.3,10,Tuesday,FALSE,FALSE,-7.972837713,-4.60312,FALSE
348,EWR,2013-07-23 14:00,N284JB,2013,7,23,1605,1400,125,200,B6,2480,BOS,99,200,14,0,20,87.08,69.98,56.92,220,12.65858,0,1002.2,10,Tuesday,FALSE,FALSE,-8.13677838,-9.697034867,FALSE
350,EWR,2013-07-23 16:00,N854UA,2013,7,23,1934,1659,155,187,UA,244,BOS,42,200,16,59,179,87.08,69.98,56.92,280,16.11092,0,1001.5,8,Tuesday,FALSE,FALSE,-15.86615892,2.797631899,FALSE
351,EWR,2013-07-23 17:00,N16732,2013,7,23,2017,1742,155,149,UA,1686,BOS,42,200,17,42,149,84.92,69.08,59.14,240,16.11092,0,1001.3,10,Tuesday,FALSE,TRUE,-13.952466,-8.05546,FALSE
352,EWR,2013-07-23 17:00,N249JB,2013,7,23,2006,1730,156,157,B6,2580,BOS,44,200,17,30,20,84.92,69.08,59.14,240,16.11092,0,1001.3,10,Tuesday,FALSE,TRUE,-13.952466,-8.05546,FALSE
